Model: word2vec_200_4_1_10.model, Average Distance: 0.5572, Params: {'embedding_size': 200, 'window_size': 4, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_200_4_1_15.model, Average Distance: 0.5907, Params: {'embedding_size': 200, 'window_size': 4, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_200_4_1_30.model, Average Distance: 0.6229, Params: {'embedding_size': 200, 'window_size': 4, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_200_4_1_40.model, Average Distance: 0.6302, Params: {'embedding_size': 200, 'window_size': 4, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_200_5_0_5.model, Average Distance: 0.5594, Params: {'embedding_size': 200, 'window_size': 5, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_200_5_0_10.model, Average Distance: 0.5822, Params: {'embedding_size': 200, 'window_size': 5, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_200_5_0_15.model, Average Distance: 0.5900, Params: {'embedding_size': 200, 'window_size': 5, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_200_5_0_30.model, Average Distance: 0.6065, Params: {'embedding_size': 200, 'window_size': 5, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_200_5_0_40.model, Average Distance: 0.6093, Params: {'embedding_size': 200, 'window_size': 5, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_200_5_1_5.model, Average Distance: 0.5060, Params: {'embedding_size': 200, 'window_size': 5, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_200_5_1_10.model, Average Distance: 0.5592, Params: {'embedding_size': 200, 'window_size': 5, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_200_5_1_15.model, Average Distance: 0.5861, Params: {'embedding_size': 200, 'window_size': 5, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_200_5_1_30.model, Average Distance: 0.6204, Params: {'embedding_size': 200, 'window_size': 5, 'skip_gram': 1, 'epochs': 30}
